date,total_revenue,total_transaksi
2026-08-26,214000.0,5
2026-08-27,75000.0,1
2026-08-28,306500.0,3
2026-08-29,174000.0,3
2026-08-30,547500.0,5
2026-08-31,238000.0,2
2026-09-01,548500.0,3
2026-09-02,290000.0,5
2026-09-03,312500.0,4
2026-09-04,10000.0,2
2026-09-05,507000.0,4
2026-09-06,56000.0,1
2026-09-07,672000.0,3
2026-09-08,390000.0,3
2026-09-09,158500.0,4
2026-09-10,30000.0,2
2026-09-11,486500.0,3
2026-09-12,260500.0,4
2026-09-13,378500.0,1
2026-09-14,160500.0,4
2026-09-15,22500.0,2
2026-09-16,51500.0,3
2026-09-17,70500.0,3
2026-09-18,32500.0,1
2026-09-19,126000.0,5
2026-09-20,258500.0,3
2026-09-21,31000.0,3
2026-09-22,701500.0,3
2026-09-23,58000.0,2
2026-09-24,468000.0,2
2026-09-25,7000.0,1
