product_id,name,total_qty,total_revenue,total_hpp,avg_harga_jual,gross_profit,margin_pct
1,Beras 5kg,50,3750000.0,3250000.0,75000.0,500000.0,13.33
2,Telur 1kg,40,1120000.0,960000.0,28000.0,160000.0,14.29
8,Rokok Sampoerna,30,750000.0,690000.0,25000.0,60000.0,8.0
9,Rokok Gudang Garam,30,600000.0,555000.0,20000.0,45000.0,7.5
11,Shampo Pantene,25,375000.0,300000.0,15000.0,75000.0,20.0
7,Chitato,40,320000.0,260000.0,8000.0,60000.0,18.75
5,Aqua 600ml,69,241500.0,172500.0,3500.0,69000.0,28.57
3,Indomie Goreng,63,220500.0,176400.0,3500.0,44100.0,20.0
10,Sabun Lifebuoy,48,192000.0,144000.0,4000.0,48000.0,25.0
6,Taro Snack,44,88000.0,66000.0,2000.0,22000.0,25.0
4,Kopi Kapal Api,50,75000.0,55000.0,1500.0,20000.0,26.67
